URLs,Frequency,Dates
yahoo.com/styl,26,"['2017-08-29T17:54:1', '2017-08-29T17:54:3', '2017-08-29T17:55:2', '2017-08-29T17:56:3', '2017-08-29T18:00:2', '2017-08-29T18:00:0', '2017-08-29T18:03:3', '2017-08-29T18:26:2', '2017-08-29T18:32:0', '2017-08-29T18:38:3', '2017-08-29T18:40:1', '2017-08-29T18:52:1', '2017-08-29T19:14:3', '2017-08-29T19:15:2', '2017-08-29T19:15:3', '2017-08-29T19:16:0', '2017-08-29T19:15:3', '2017-08-29T20:01:2', '2017-08-29T20:05:1', '2017-08-29T20:14:1', '2017-08-29T20:36:5', '2017-08-29T21:39:0', '2017-08-29T21:39:0', '2017-08-29T21:42:1', '2017-08-29T21:51:2', '2017-08-29T21:53:4']"
ijr.com/the-dec,14,"['2017-08-29T17:21:0', '2017-08-29T17:43:2', '2017-08-29T18:10:5', '2017-08-29T18:10:5', '2017-08-29T18:10:5', '2017-08-29T18:10:5', '2017-08-29T18:34:4', '2017-08-29T19:22:4', '2017-08-29T19:24:2', '2017-08-29T19:47:1', '2017-08-29T19:54:2', '2017-08-29T20:27:2', '2017-08-29T20:43:3', '2017-08-29T20:43:3']"
yahoo.com/news,13,"['2017-08-29T16:54:3', '2017-08-29T16:55:2', '2017-08-29T16:56:2', '2017-08-29T17:08:1', '2017-08-29T17:09:3', '2017-08-29T17:10:3', '2017-08-29T17:11:0', '2017-08-29T17:18:2', '2017-08-29T17:23:5', '2017-08-29T17:26:3', '2017-08-29T17:29:4', '2017-08-29T17:29:4', '2017-08-29T18:17:4']"
disq.us/t/2symf,13,"['2017-08-29T15:46:4', '2017-08-29T15:46:4', '2017-08-29T15:46:4', '2017-08-29T15:46:4', '2017-08-29T15:46:4', '2017-08-29T15:46:4', '2017-08-29T15:46:4', '2017-08-29T15:46:4', '2017-08-29T15:46:4', '2017-08-29T15:46:4', '2017-08-29T15:46:4', '2017-08-29T15:46:4', '2017-08-29T15:46:4']"
thewrap.com/tw,11,"['2017-08-29T19:55:0', '2017-08-29T19:55:0', '2017-08-29T19:55:0', '2017-08-29T19:55:0', '2017-08-29T19:55:0', '2017-08-29T19:55:0', '2017-08-29T19:55:0', '2017-08-29T19:55:0', '2017-08-29T19:55:0', '2017-08-29T19:55:0', '2017-08-29T19:55:0']"
aol.it/2iFS1e4,11,"['2017-08-29T16:02:3', '2017-08-29T17:34:3', '2017-08-29T18:33:3', '2017-08-29T18:35:0', '2017-08-29T19:37:2', '2017-08-29T19:49:4', '2017-08-29T20:03:2', '2017-08-29T20:18:0', '2017-08-29T20:37:2', '2017-08-29T22:29:1', '2017-08-29T22:32:4']"
twitter.com/Off,11,"['2017-08-29T14:01:4', '2017-08-29T14:01:4', '2017-08-29T14:01:4', '2017-08-29T14:01:4', '2017-08-29T14:01:4', '2017-08-29T14:01:4', '2017-08-29T14:01:4', '2017-08-29T14:01:4', '2017-08-29T14:01:4', '2017-08-29T14:01:4', '2017-08-29T14:01:4']"
yahoo.com/news,8,"['2017-08-29T16:52:1', '2017-08-29T17:00:1', '2017-08-29T17:05:4', '2017-08-29T17:05:4', '2017-08-29T17:05:4', '2017-08-29T17:05:4', '2017-08-29T17:05:4', '2017-08-29T21:40:0']"
twitter.com/Lam,8,"['2017-08-29T12:51:0', '2017-08-29T12:51:0', '2017-08-29T12:51:0', '2017-08-29T12:51:0', '2017-08-29T12:51:0', '2017-08-29T12:51:0', '2017-08-29T12:51:0', '2017-08-29T12:51:0']"
ift.tt/2x1ClaL,6,"['2017-08-29T17:47:2', '2017-08-29T18:41:3', '2017-08-29T18:42:1', '2017-08-29T18:43:3', '2017-08-29T18:57:2', '2017-08-29T20:04:1']"
